idx1,idx2,distance,sample_count,merge_id
897,935,31.48192449,17,981
881,947,31.61207048,16,982
924,936,31.66626091,14,983
931,949,31.90260173,15,984
830,973,33.76573683,18,985
875,933,33.85867573,7,986
911,919,34.41342464,23,987
925,983,34.48412075,22,988
944,956,34.53187427,24,989
968,976,34.96093167,29,990
889,963,35.76834342,17,991
922,934,36.58646898,15,992
953,960,37.6318674,17,993
913,945,38.59998072,26,994
961,988,38.84454212,31,995
937,967,39.06998879,31,996
964,981,39.35428341,30,997
912,962,39.38086653,19,998
970,987,40.46631923,34,999
979,993,40.97933826,28,1000
982,989,43.16160035,40,1001
927,984,43.7153402,23,1002
948,980,46.48037499,21,1003
992,1003,47.90087421,36,1004
975,997,48.34589505,48,1005
952,1000,49.83902551,38,1006
971,974,50.7090493,29,1007
978,1005,52.70388084,70,1008
990,996,53.20127014,60,1009
966,998,53.46576653,36,1010
994,1007,53.51961868,55,1011
972,1009,54.82398459,77,1012
959,1010,57.84145421,55,1013
977,1004,59.31437361,49,1014
985,991,61.04112058,35,1015
999,1001,65.90186757,74,1016
995,1015,73.86928532,66,1017
1002,1014,75.1766926,72,1018
986,1006,84.00239003,45,1019
1008,1013,89.3641917,125,1020
1011,1012,100.60971,132,1021
1018,1019,105.4186863,117,1022
1017,1020,118.3526677,191,1023
1016,1021,126.4211346,206,1024
1022,1024,166.3866626,323,1025
1023,1025,261.25359,514,1026
